source_id,split,scene_category,secondary_tags,difficulty_tier,upstream_dataset,upstream_id,upstream_split,official_source,source_url,license_evidence_url,license,license_url,author,attribution,access_date,upstream_revision_timestamp,upstream_hash,raw_sha256,materialized_sha256,expected_width,expected_height,source_aspect,orientation,local_filename,redistribution_status,modification_notice,personality_rights_status,trademark_status,non_copyright_restrictions,source_resolution_limited,resolution_review_status,public_release_eligible,api_egress_allowed,license_review_status,scene_review_status,content_safety_status,duplicate_review_status,review_status,download_status,phash,review_notes
commons-059eb0390ab4,pilot60,landscape_architecture_structure,reviewed_v2_pilot,aspect_extreme,wikimedia_commons,File:Castle of Estaing 15.jpg,public_file,https://commons.wikimedia.org/wiki/File:Castle_of_Estaing_15.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Castle_of_Estaing_15.jpg/1280px-Castle_of_Estaing_15.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Castle_of_Estaing_15.jpg#Licensing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Krzysztof Golik,Krzysztof Golik — Castle of Estaing 15.jpg — CC BY-SA 4.0 — via Wikimedia Commons,2026-08-12,2018-09-05T18:24:54Z,sha1:75bbe9ecef385a0994e4cba6eb88df8d052eb09b,18f253b119c612b35b231616b344cb18c0e8dd2516434a1212c99c5195e0e45f,3e8c80628ecd3e0af8ce97b307ef3cd08c15632b80d13ed1a5d9635252b7d481,1280,368,3.47826087,landscape,images/commons-059eb0390ab4.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,true,approved,approved,approved,approved,approved,materialized,92d0db1a2446cdbe,Viewed on landscape_architecture_structure pilot overview 01; an extreme-width real castle and bridge panorama with strong structural lines; no people sensitivity or risky trademark visible.
commons-060cf824bc31,pilot60,multi_product_commercial,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,"File:Amazon Go Grocery - 610 Pike Street, Seattle - interior with carts and shelves.jpg",public_file,"https://commons.wikimedia.org/wiki/File:Amazon_Go_Grocery_-_610_Pike_Street,_Seattle_-_interior_with_carts_and_shelves.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Amazon_Go_Grocery_-_610_Pike_Street%2C_Seattle_-_interior_with_carts_and_shelves.jpg/1280px-Amazon_Go_Grocery_-_610_Pike_Street%2C_Seattle_-_interior_with_carts_and_shelves.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Amazon_Go_Grocery_-_610_Pike_Street,_Seattle_-_interior_with_carts_and_shelves.jpg#Licensing",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,SounderBruce,"SounderBruce — Amazon Go Grocery - 610 Pike Street, Seattle - interior with carts and shelves.jpg — CC BY-SA 4.0 — via Wikimedia Commons",2026-08-12,2020-03-14T04:30:02Z,sha1:ba397b685fc3c99c4fb6f1c16837e6d42b91cd5b,1689936d8072c452b8aca5d4de7012294d82eced76bd23a1a3a298458dc1cbfb,764cbf5b71c17d5936dbf76a7188823e48483ec5420952b70274027b36efb537,1280,851,1.50411281,landscape,images/commons-060cf824bc31.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,916ab978119de1c6,Viewed on multi_product_commercial eligible overview 01; a real grocery produce display with many products and price labels; attribution reviewed and trademark egress disabled.
commons-0737b43c3bc0,pilot60,multi_person,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:Girl to Woman Festival crowd 2018.png,public_file,https://commons.wikimedia.org/wiki/File:Girl_to_Woman_Festival_crowd_2018.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Girl_to_Woman_Festival_crowd_2018.png/1280px-Girl_to_Woman_Festival_crowd_2018.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Girl_to_Woman_Festival_crowd_2018.png#Licensing,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Girl to Woman,Girl to Woman — Girl to Woman Festival crowd 2018.png — CC BY 3.0 — via Wikimedia Commons,2026-08-12,2020-05-06T02:34:51Z,sha1:91fd8dcf7081f35478eaa217b932484922bc3448,15a13dd0f899e5fcc2ab033379554d94abecec8528cb9234e39fede753bfafd8,60fb2a2ff36af92236d5dac5a479cc6ac7a53b43486f91d1d28aa9aac077d778,1280,718,1.78272981,landscape,images/commons-0737b43c3bc0.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,c087f912a740ff09,Viewed on multi_person pilot overview 01; a real public festival crowd with many distinct people; CC attribution and non-sensitive context reviewed.
commons-0dce6da5024a,pilot60,complex_mixed,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:DFC 1791 A quiet street market at night with rows of parked motorbikes small shops lit up and a lone pedestrian in a red jacket walking past.jpg,public_file,https://commons.wikimedia.org/wiki/File:DFC_1791_A_quiet_street_market_at_night_with_rows_of_parked_motorbikes_small_shops_lit_up_and_a_lone_pedestrian_in_a_red_jacket_walking_past.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/DFC_1791_A_quiet_street_market_at_night_with_rows_of_parked_motorbikes_small_shops_lit_up_and_a_lone_pedestrian_in_a_red_jacket_walking_past.jpg/1280px-DFC_1791_A_quiet_street_market_at_night_with_rows_of_parked_motorbikes_small_shops_lit_up_and_a_lone_pedestrian_in_a_red_jacket_walking_past.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:DFC_1791_A_quiet_street_market_at_night_with_rows_of_parked_motorbikes_small_shops_lit_up_and_a_lone_pedestrian_in_a_red_jacket_walking_past.jpg#Licensing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,PattayaPatrol,PattayaPatrol — DFC 1791 A quiet street market at night with rows of parked motorbikes small shops lit up and a lone pedestrian in a red jacket walking past.jpg — CC BY-SA 4.0 — via Wikimedia Commons,2026-08-12,2026-05-01T05:45:09Z,sha1:011719e8ca18ed4dff350e488191c200ec8f0ed4,71eff952139f5306eb4c2c75d4c81f77553c743024fc867c782aa8fb0e27243f,bec27bb8049b940db5a8a7cf5a4047a31fcdb4269d9e5f2f71112d464565ff91,1280,853,1.50058617,landscape,images/commons-0dce6da5024a.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,eb15654addf3815c,Viewed on complex_mixed pilot overview 01; a real busy street market combining vehicles shops signs and a pedestrian; attribution and safety reviewed.
commons-0ebe9b03b237,pilot60,multi_product_commercial,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:DFC 2097 Plastic bags filled with prepared street-food salads and sauces neatly lined up for sale at a bustling night market stall.jpg,public_file,https://commons.wikimedia.org/wiki/File:DFC_2097_Plastic_bags_filled_with_prepared_street-food_salads_and_sauces_neatly_lined_up_for_sale_at_a_bustling_night_market_stall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/DFC_2097_Plastic_bags_filled_with_prepared_street-food_salads_and_sauces_neatly_lined_up_for_sale_at_a_bustling_night_market_stall.jpg/1280px-DFC_2097_Plastic_bags_filled_with_prepared_street-food_salads_and_sauces_neatly_lined_up_for_sale_at_a_bustling_night_market_stall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:DFC_2097_Plastic_bags_filled_with_prepared_street-food_salads_and_sauces_neatly_lined_up_for_sale_at_a_bustling_night_market_stall.jpg#Licensing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,PattayaPatrol,PattayaPatrol — DFC 2097 Plastic bags filled with prepared street-food salads and sauces neatly lined up for sale at a bustling night market stall.jpg — CC BY-SA 4.0 — via Wikimedia Commons,2026-08-12,2026-04-24T05:17:08Z,sha1:f481e433085c18bbee3a70863a6e9dc67cab8694,d631292353b05481e921cdb190ffbcb926c95ce209e2b627896f6c66f82c425d,18fd070ddb647e62f85d2c3793d02c490175c4184b5665bd5e92e48b378916e8,1280,853,1.50058617,landscape,images/commons-0ebe9b03b237.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,e03b07789f636864,Viewed on multi_product_commercial eligible overview 01; a real night-market stall with many packaged food products and display elements; safe public scene confirmed.
commons-0fc19abdcf08,pilot60,multi_product_commercial,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:DSCF1160 A busy street vendor prepares a fresh drink behind a small illuminated stall while customers wait at the counter.jpg,public_file,https://commons.wikimedia.org/wiki/File:DSCF1160_A_busy_street_vendor_prepares_a_fresh_drink_behind_a_small_illuminated_stall_while_customers_wait_at_the_counter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/DSCF1160_A_busy_street_vendor_prepares_a_fresh_drink_behind_a_small_illuminated_stall_while_customers_wait_at_the_counter.jpg/1280px-DSCF1160_A_busy_street_vendor_prepares_a_fresh_drink_behind_a_small_illuminated_stall_while_customers_wait_at_the_counter.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:DSCF1160_A_busy_street_vendor_prepares_a_fresh_drink_behind_a_small_illuminated_stall_while_customers_wait_at_the_counter.jpg#Licensing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,PattayaPatrol,PattayaPatrol — DSCF1160 A busy street vendor prepares a fresh drink behind a small illuminated stall while customers wait at the counter.jpg — CC BY-SA 4.0 — via Wikimedia Commons,2026-08-12,2026-06-22T03:47:09Z,sha1:1d7521350d3c7519fe58290856bb76c1387bccb6,1a7d3e136433299f9634e9bf2b5e8889a792d1dd215b2c856d5311720646d0c4,9a8d323a0c957edea06a4f39be37bbda3a44c272948ea4d7bf78d90dc1a055de,1280,853,1.50058617,landscape,images/commons-0fc19abdcf08.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,9e6166cc6196daf4,Viewed on multi_product_commercial eligible overview 01; a real vendor stall with multiple packaged goods and visible commercial display; safe public context confirmed.
commons-100101862d08,pilot60,complex_mixed,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:DFC 1699 A brightly lit street food cart attached to a scooter parked outside a lively night market with a vendor ready to serve customers under colorful neon lights.jpg,public_file,https://commons.wikimedia.org/wiki/File:DFC_1699_A_brightly_lit_street_food_cart_attached_to_a_scooter_parked_outside_a_lively_night_market_with_a_vendor_ready_to_serve_customers_under_colorful_neon_lights.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/DFC_1699_A_brightly_lit_street_food_cart_attached_to_a_scooter_parked_outside_a_lively_night_market_with_a_vendor_ready_to_serve_customers_under_colorful_neon_lights.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:DFC_1699_A_brightly_lit_street_food_cart_attached_to_a_scooter_parked_outside_a_lively_night_market_with_a_vendor_ready_to_serve_customers_under_colorful_neon_lights.jpg#Licensing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,PattayaPatrol,PattayaPatrol — DFC 1699 A brightly lit street food cart attached to a scooter parked outside a lively night market with a vendor ready to serve customers under colorful neon lights.jpg — CC BY-SA 4.0 — via Wikimedia Commons,2026-08-12,2026-05-01T06:11:18Z,sha1:afd1d22be5cefab3a7c129a085d59022d72ef5d7,cc0ed6928b342e8dc624337e3423f9e1a51760311c15df33dd72cc2fcd8d461e,75850bc1e56e857734ee6acc696179aca7068e1ed95171b281f97a24cc487e2b,1280,853,1.50058617,landscape,images/commons-100101862d08.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,9491e9484a6e6e6e,Viewed on complex_mixed pilot overview 01; a real food cart combining products vehicle signage lighting and people; attribution and safety reviewed.
commons-137b888c6f8f,pilot60,chinese_dense_poster,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (4).jpg,public_file,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(4).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%284%29.jpg/1280px-20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_%284%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:20140321_%E7%AB%8B%E6%B3%95%E9%99%A2%E5%89%8D%E5%8F%8D%E6%9C%8D%E8%B2%BF%E7%AC%AC%E4%B8%89%E5%A4%A9_%E7%AB%8B%E6%B3%95%E9%99%A2%E9%9D%92%E5%B3%B6%E6%9D%B1%E8%B7%AF%E5%81%B4%E9%96%80%E9%90%B5%E9%96%80%E4%B8%8A%E7%9A%84%E6%B5%B7%E5%A0%B1_(4).jpg#Licensing,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,tenz1225,tenz1225 — 20140321 立法院前反服貿第三天 立法院青島東路側門鐵門上的海報 (4).jpg — CC BY-SA 2.0 — via Wikimedia Commons,2026-08-12,2014-05-22T18:43:32Z,sha1:b0151c275adadbf75bf8991331e9a6e8e0d1c6db,34798464d019311c583c40e27ab2cf674e372c058d6ed400cac43c1a7732b1b3,3f682b68f8085303b38da2cbc1ea43bc37d2ccc20067208da6323b24f3d535d4,1280,2274,0.56288478,portrait,images/commons-137b888c6f8f.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,bbfe44b96ec23b01,Viewed on chinese_dense_poster eligible overview 01; a portrait-format Chinese health information poster with many text and icon regions; no unsafe content.
commons-17fab55d06c5,pilot60,chinese_dense_poster,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:193510-09上海金城戲院上映廣告.jpg,public_file,https://commons.wikimedia.org/wiki/File:193510-09%E4%B8%8A%E6%B5%B7%E9%87%91%E5%9F%8E%E6%88%B2%E9%99%A2%E4%B8%8A%E6%98%A0%E5%BB%A3%E5%91%8A.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/193510-09%E4%B8%8A%E6%B5%B7%E9%87%91%E5%9F%8E%E6%88%B2%E9%99%A2%E4%B8%8A%E6%98%A0%E5%BB%A3%E5%91%8A.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:193510-09%E4%B8%8A%E6%B5%B7%E9%87%91%E5%9F%8E%E6%88%B2%E9%99%A2%E4%B8%8A%E6%98%A0%E5%BB%A3%E5%91%8A.jpg#Licensing,CC0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Unknown author Unknown author,Unknown author Unknown author — 193510-09上海金城戲院上映廣告.jpg — CC0 — via Wikimedia Commons,2026-08-12,2025-05-15T13:36:45Z,sha1:cbff882a1557ce7343b4f3c3d43c4442b354e5d3,782a3f0ea780e2a060e74309a585c1601673241388e9e80d845cb019f8152d79,8acbd2e29a942b73739092378b4ee699072b69ad8d12ddacc995734ddf0e069f,1000,1987,0.50327126,portrait,images/commons-17fab55d06c5.png,public_domain_or_cc0,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,false,approved,true,false,approved,approved,approved,approved,approved,materialized,f57094937a4f63b4,Viewed on chinese_dense_poster eligible overview 01; a real historical newspaper advertisement densely typeset in Chinese; non-fixture and license status confirmed.
commons-18e5100f5ff8,pilot60,complex_mixed,reviewed_v2_pilot,aspect_hard_1,wikimedia_commons,File:DFC 3809 A bustling night scene on a neon-lit street packed with people as colorful signs and shopfronts glow above the crowd.jpg,public_file,https://commons.wikimedia.org/wiki/File:DFC_3809_A_bustling_night_scene_on_a_neon-lit_street_packed_with_people_as_colorful_signs_and_shopfronts_glow_above_the_crowd.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/DFC_3809_A_bustling_night_scene_on_a_neon-lit_street_packed_with_people_as_colorful_signs_and_shopfronts_glow_above_the_crowd.jpg/1280px-DFC_3809_A_bustling_night_scene_on_a_neon-lit_street_packed_with_people_as_colorful_signs_and_shopfronts_glow_above_the_crowd.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:DFC_3809_A_bustling_night_scene_on_a_neon-lit_street_packed_with_people_as_colorful_signs_and_shopfronts_glow_above_the_crowd.jpg#Licensing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,PattayaPatrol,PattayaPatrol — DFC 3809 A bustling night scene on a neon-lit street packed with people as colorful signs and shopfronts glow above the crowd.jpg — CC BY-SA 4.0 — via Wikimedia Commons,2026-08-12,2026-04-17T02:12:40Z,sha1:f6090c241ae82c4b9725c9b7106b76b7a03a8ff7,209d11681eb7e09a1b63b760a17daf5cb8b4fdb5f13c8e7e84cd77d9cde14b6e,97abad326ed109b5ca477aadc0ef156868ab29d7678e4600b5e648bebe34b548,1280,853,1.50058617,landscape,images/commons-18e5100f5ff8.png,allowed_with_attribution,official audited evaluation rendition; metadata removed; EXIF orientation applied; decoded pixels stored losslessly as PNG,reviewed_for_non-sensitive_research_benchmark,no_high_risk_trademark_use_identified,approved_for_research_benchmark_not_endorsement,true,approved,true,false,approved,approved,approved,approved,approved,materialized,c43333d8c43e330f,Viewed on complex_mixed pilot overview 01; a real crowded night street with many signs shops and overlapping subjects; attribution and safety reviewed.
