index,task_id,scene_category,route_reviewed,codex_score_100,verdict,reason
1,commons-820ff9b73ba3__square-1024x1024,chinese_dense_poster,seedream5,78,good_with_layout_caveat,"主体、插画和大段中文均可辨，未见明显拉伸；但主要采用缩放后居中留白，没有真正重排细字，画布利用率一般。"
2,commons-4d536d9f0f2e__square-1024x1024,chinese_dense_poster,qwen4_fallback_direct_warp,81,good_fallback,"SeedDream 超时后回退；红色海报主题与两行大字完整，Direct Warp 有轻微比例变化，但无明显缺字或主体丢失。"
3,commons-83c3e3a85ed1__square-1024x1024,single_product_promo,seedream5,82,good_with_layout_caveat,"车辆、标题、价格和正文整体保留，几何形状稳定；同样通过居中留白规避重排，属于信息安全但版式偏保守。"
4,commons-178defdf06a1__square-1024x1024,single_product_promo,qwen4_fallback_seam,60,acceptable_fallback,"SeedDream 输入约束失败；Seam 使两栏广告纵向拉长，主体仍在且主要文字未整块丢失，但版式和字形变形明显。"
5,commons-8409bac07d6a__square-1024x1024,multi_product_commercial,seedream5,80,good_with_layout_caveat,"四枚硬币均完整、数量与纹理未见明显异常；中心留白较多，信息保真高但不是全幅商业重构。"
6,commons-ef4fcdd7565b__square-1024x1024,multi_product_commercial,qwen4_fallback_direct_warp,65,acceptable_fallback,"SeedDream 超时；Direct Warp 保留多枚徽章、标题和价格结构，但把超宽广告压成正方形，圆形物体有可见横纵比例变化。"
7,commons-2dedc4be304f__square-1024x1024,multi_person,seedream5,84,good,"热气球、车辆、远山和多人活动关系完整，未见显著主体复制或手脚异常；背景自然，留白比传统拉伸更可信。"
8,commons-12e03c08dada__square-1024x1024,multi_person,qwen4_fallback_crop,58,weak_fallback,"SeedDream 超时；Crop 放大了局部人群并舍弃超宽场景两端，人物可见但群体与环境信息明显减少。"
9,commons-7936f4560f6a__square-1024x1024,portrait,seedream5,88,very_good,"单人主体、灌木、山坡和画框关系自然地扩展为正方形，未见明显脸部拉伸；背景有生成性变化但不影响主体语义。"
10,commons-35a2ab968e9a__square-1024x1024,portrait,qwen4_fallback_direct_warp,48,weak_fallback,"SeedDream 超时；极窄全身肖像被横向强拉到正方形，人体比例显著失真，虽未裁掉人物但不应作为成品。"
11,commons-038ceca3c5ba__square-1024x1024,landscape_architecture_structure,seedream5,80,good_with_layout_caveat,"夜景岸线、灯光反射和水平结构完整，未见建筑线弯折；画面被缩小居中，沉浸感和画布利用率有限。"
12,commons-3dd6cfd7c36b__square-1024x1024,landscape_architecture_structure,qwen4_fallback_direct_warp,58,weak_fallback,"SeedDream 超时；河道与建筑仍完整，但超宽城市景观被明显挤压，建筑比例和空间感变形。"
13,commons-2075b21daae7__square-1024x1024,complex_mixed,seedream5,84,good_with_layout_caveat,"人物、书页、红色封面和多段英文均在，整体没有明显缺页；采用缩放留白，细字仍需 OCR/人工放大确认。"
14,commons-94832ce9dc9c__square-1024x1024,complex_mixed,seedream5,72,acceptable,"复杂彩色图文墙主体和分栏关系保留，无明显整体变形；缩小后细字不可读，自动 OCR 召回仅 0.132，不能判为高质量文字交付。"
