source_id,upstream_dataset,declared_scene,sample_review_result,scene_observation,content_safety_observation,resolution_observation,decision
commons-04b71478b1de,wikimedia_commons,multi_product_commercial,manual_review_required,"Retail clothing interior has multiple products and signs, but two required commercial UI/price/logo elements are not unambiguously visible at overview scale.",No excluded content observed.,5236x3257 passes numeric threshold.,keep_in_manual_queue
commons-0995e8457c16,wikimedia_commons,multi_product_commercial,scene_mismatch,"Event/stage scene with people; four products and two commercial elements are not visible.",No excluded content observed.,4432x2559 passes numeric threshold.,replace
commons-0aa6b16504d2,wikimedia_commons,chinese_dense_poster,scene_mismatch,"Historical illustrated banner has some Chinese text but does not visibly meet dense-poster text-region/coverage criteria.",Conflict imagery is illustrated rather than graphic; still requires final safety review.,1505x718 fails normal threshold and would need a Chinese historical exception.,replace
commons-0c86228a96b3,wikimedia_commons,single_product_promo,content_risk,"Vintage cigarette advertisement visually fits a single-product promotion.",Tobacco advertisement is unsuitable for the intended non-sensitive benchmark even though it is not in the narrow automatic exclusion list.,2411x3686 passes numeric threshold.,replace
commons-13312197c810,wikimedia_commons,chinese_dense_poster,scene_mismatch,"Airline poster contains Chinese and English text but is not a dense multi-region Chinese text poster.",No excluded content observed.,713x1100 fails normal threshold and would consume a Chinese historical exception.,replace
oi-00075905539074f2,open_images_v7,complex_mixed,scene_mismatch,"Vintage illustration with three principal figures and text does not visibly satisfy three complex-mixed difficulty conditions.",Illustrated fighting poses require final context review but are not graphic.,1024x914 fails numeric threshold.,replace
oi-0007cebe1b2ba653,open_images_v7,complex_mixed,scene_mismatch,"Dog agility photograph lacks multi-text/multi-subject complex-background requirements.",No excluded content observed.,1024x683 fails numeric threshold.,replace
oi-000a045a0715d64d,open_images_v7,multi_person,scene_mismatch,"Underwater scene does not clearly show at least three people or a group-of instance at overview scale.",No excluded content observed.,1024x680 fails numeric threshold.,replace
oi-000a1249af2bc5f0,open_images_v7,portrait,manual_review_required,"Hands with body context may count as a one-person boundary-stress portrait, but the primary person is not fully visible.",No excluded content observed; do not infer identity or demographic attributes.,1024x678 fails numeric threshold.,replace_for_resolution
oi-0013e81caff9a7b2,open_images_v7,single_product_promo,scene_mismatch,"Single plated food image lacks packaging text, brand region, or promotional text.",No excluded content observed.,1024x683 fails numeric threshold.,replace
